oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1601000,Алейский муниципальный район,female,2017,0.06744,0.05725,0.05157,0.03958,0.03433,0.02304,0.04785,0.05875,0.06247,0.0622,0.194,0.1255,0.10205,0.0739
1601000,Алейский муниципальный район,male,2017,0.06903,0.0687,0.05457,0.04688,0.04248,0.0433,0.05032,0.05417,0.0672,0.05746,0.1781,0.1171,0.08813,0.06256
1602000,Алтайский муниципальный район,female,2017,0.0684,0.06305,0.0565,0.0524,0.05347,0.05234,0.07056,0.0697,0.0712,0.0561,0.1412,0.08875,0.0861,0.0702
1602000,Алтайский муниципальный район,male,2017,0.0771,0.07605,0.06415,0.05215,0.0628,0.06018,0.0781,0.07135,0.0651,0.0528,0.132,0.0851,0.0725,0.05063
1603000,Баевский муниципальный район,female,2017,0.0681,0.0671,0.0492,0.05002,0.03384,0.02596,0.0488,0.05814,0.06476,0.0577,0.187,0.1221,0.0976,0.06976
1603000,Баевский муниципальный район,male,2017,0.072,0.0667,0.05917,0.04477,0.03302,0.0379,0.05585,0.06226,0.0696,0.0607,0.1835,0.11945,0.0813,0.05383
1604000,Бийский муниципальный район,female,2017,0.06885,0.06744,0.0522,0.03958,0.041,0.05298,0.0577,0.07007,0.0672,0.06143,0.1547,0.098,0.0947,0.07416
1604000,Бийский муниципальный район,male,2017,0.07983,0.0716,0.0598,0.04684,0.051,0.068,0.07043,0.0643,0.06854,0.05487,0.1393,0.0849,0.08325,0.05728
1605000,Благовещенский муниципальный район,female,2017,0.0615,0.06586,0.05396,0.0501,0.0534,0.04642,0.0706,0.07007,0.0696,0.05603,0.1552,0.098,0.0815,0.0679
1605000,Благовещенский муниципальный район,male,2017,0.0695,0.0766,0.0633,0.0466,0.0377,0.0816,0.0732,0.069,0.071,0.05902,0.1459,0.0911,0.0663,0.0493
1606000,Бурлинский муниципальный район,female,2017,0.06195,0.06793,0.0644,0.04565,0.032,0.0352,0.05408,0.06866,0.07184,0.06195,0.1742,0.10815,0.0866,0.0674
1606000,Бурлинский муниципальный район,male,2017,0.0647,0.0725,0.0649,0.0508,0.0434,0.04025,0.05862,0.0682,0.0696,0.0657,0.1688,0.102,0.07605,0.05453
1607000,Быстроистокский муниципальный район,female,2017,0.06805,0.0627,0.05978,0.0461,0.0329,0.02708,0.0553,0.0573,0.0721,0.06113,0.16,0.10187,0.1075,0.0882
