oktmo,name,year,badcompanies
22637448,Чернухинский сельсовет,2009,1.0
22637448,Чернухинский сельсовет,2012,1.0
22637448,Чернухинский сельсовет,2013,1.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2009,3.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2010,4.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2011,2.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2012,2.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2013,3.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2014,3.0
22638000,Кулебакский муниципальный район (с 2016 г. городской округ г. Кулебаки),2015,2.0
22638101,Город Кулебаки,2009,2.0
22638101,Город Кулебаки,2010,3.0
22638101,Город Кулебаки,2011,2.0
22638101,Город Кулебаки,2012,1.0
22638101,Город Кулебаки,2013,2.0
22638101,Город Кулебаки,2014,2.0
22638101,Город Кулебаки,2015,1.0
22638153,рабочий поселок Гремячево,2009,1.0
22638153,рабочий поселок Гремячево,2010,1.0
22638424,Саваслейский сельсовет,2012,1.0
22638424,Саваслейский сельсовет,2013,1.0
22639000,Лукояновский муниципальный район,2009,3.0
22639000,Лукояновский муниципальный район,2010,3.0
22639000,Лукояновский муниципальный район,2011,5.0
22639000,Лукояновский муниципальный район,2012,4.0
22639000,Лукояновский муниципальный район,2013,4.0
22639000,Лукояновский муниципальный район,2014,3.0
22639000,Лукояновский муниципальный район,2015,2.0
22639000,Лукояновский муниципальный район,2016,1.0
22639000,Лукояновский муниципальный район,2017,3.0
22639000,Лукояновский муниципальный район,2018,4.0
22639000,Лукояновский муниципальный район,2020,6.0
22639101,Город Лукоянов,2009,2.0
22639101,Город Лукоянов,2010,3.0
22639101,Город Лукоянов,2011,5.0
22639101,Город Лукоянов,2012,3.0
22639101,Город Лукоянов,2013,4.0
22639101,Город Лукоянов,2014,3.0
22639101,Город Лукоянов,2015,2.0
22639101,Город Лукоянов,2018,4.0
22639154,рабочий поселок им. Степана Разина,2012,1.0
22639412,Большемаресьевский сельсовет,2009,1.0
22640000,Лысковский муниципальный район,2009,7.0
22640000,Лысковский муниципальный район,2010,9.0
22640000,Лысковский муниципальный район,2011,6.0
22640000,Лысковский муниципальный район,2012,7.0
22640000,Лысковский муниципальный район,2013,6.0
22640000,Лысковский муниципальный район,2014,4.0
22640000,Лысковский муниципальный район,2015,3.0
22640000,Лысковский муниципальный район,2016,7.0
22640000,Лысковский муниципальный район,2017,6.0
22640000,Лысковский муниципальный район,2018,7.0
22640000,Лысковский муниципальный район,2019,6.0
22640000,Лысковский муниципальный район,2020,8.0
22640101,Город Лысково,2009,5.0
22640101,Город Лысково,2010,4.0
22640101,Город Лысково,2011,3.0
22640101,Город Лысково,2012,5.0
22640101,Город Лысково,2013,6.0
22640101,Город Лысково,2014,4.0
22640101,Город Лысково,2015,2.0
22640101,Город Лысково,2016,6.0
22640101,Город Лысково,2017,5.0
22640101,Город Лысково,2018,6.0
22640404,Барминский сельсовет,2010,1.0
22640408,Валковский сельсовет,2011,1.0
22640420,Кириковский сельсовет,2009,1.0
22640420,Кириковский сельсовет,2010,1.0
22640424,Красноосельский сельсовет,2009,1.0
22640424,Красноосельский сельсовет,2010,1.0
22640424,Красноосельский сельсовет,2011,1.0
22640424,Красноосельский сельсовет,2012,1.0
22640428,Леньковский сельсовет,2010,2.0
22640428,Леньковский сельсовет,2011,1.0
22640428,Леньковский сельсовет,2012,1.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2009,4.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2010,6.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2011,1.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2012,2.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2013,1.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2014,2.0
22641000,Навашинский муниципальный район (с 2016 г. городской округ Навашинский),2015,2.0
22641101,Город Навашино,2009,4.0
22641101,Город Навашино,2010,6.0
22641101,Город Навашино,2011,1.0
22641101,Город Навашино,2012,2.0
22641101,Город Навашино,2013,1.0
22641101,Город Навашино,2014,2.0
22641101,Город Навашино,2015,2.0
22642000,Павловский муниципальный район,2009,20.0
22642000,Павловский муниципальный район,2010,18.0
22642000,Павловский муниципальный район,2011,11.0
22642000,Павловский муниципальный район,2012,10.0
22642000,Павловский муниципальный район,2013,10.0
22642000,Павловский муниципальный район,2014,8.0
22642000,Павловский муниципальный район,2015,8.0
22642000,Павловский муниципальный район,2016,9.0
22642000,Павловский муниципальный район,2017,7.0
22642000,Павловский муниципальный район,2018,6.0
22642000,Павловский муниципальный район,2019,7.0
22642000,Павловский муниципальный район,2020,12.0
22642101,Город Павлово,2009,14.0
22642101,Город Павлово,2010,8.0
22642101,Город Павлово,2011,6.0
22642101,Город Павлово,2012,5.0
22642101,Город Павлово,2013,4.0
22642101,Город Павлово,2014,2.0
22642101,Город Павлово,2015,3.0
22642101,Город Павлово,2016,5.0
22642101,Город Павлово,2017,3.0
22642103,Город Ворсма,2009,1.0
22642103,Город Ворсма,2010,1.0
22642103,Город Ворсма,2011,1.0
22642103,Город Ворсма,2012,2.0
22642103,Город Ворсма,2013,2.0
22642103,Город Ворсма,2014,3.0
22642103,Город Ворсма,2015,2.0
22642103,Город Ворсма,2016,3.0
22642105,Город Горбатов,2009,1.0
22642105,Город Горбатов,2010,2.0
22642105,Город Горбатов,2013,1.0
22642155,рабочий поселок Тумботино,2009,1.0
22642155,рабочий поселок Тумботино,2010,3.0
22642155,рабочий поселок Тумботино,2011,2.0
22642155,рабочий поселок Тумботино,2012,3.0
22642155,рабочий поселок Тумботино,2013,3.0
22642155,рабочий поселок Тумботино,2014,3.0
22642155,рабочий поселок Тумботино,2015,3.0
22642155,рабочий поселок Тумботино,2016,1.0
22642416,Калининский сельсовет,2010,1.0
22642420,Коровинский сельсовет,2009,2.0
22642420,Коровинский сельсовет,2010,2.0
22642420,Коровинский сельсовет,2011,1.0
22642424,Таремский сельсовет,2009,1.0
22642424,Таремский сельсовет,2010,1.0
22642424,Таремский сельсовет,2011,1.0
22643000,Первомайский муниципальный район (с 2013 г. городской округ г.Первомайск),2009,5.0
22643000,Первомайский муниципальный район (с 2013 г. городской округ г.Первомайск),2010,4.0
22643000,Первомайский муниципальный район (с 2013 г. городской округ г.Первомайск),2011,2.0
22643000,Первомайский муниципальный район (с 2013 г. городской округ г.Первомайск),2012,5.0
22643101,город Первомайск,2009,4.0
22643101,город Первомайск,2010,3.0
22643101,город Первомайск,2011,1.0
22643101,город Первомайск,2012,4.0
22643156,рабочий поселок Сатис,2009,1.0
22643156,рабочий поселок Сатис,2010,1.0
22643156,рабочий поселок Сатис,2011,1.0
22643156,рабочий поселок Сатис,2012,1.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2009,1.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2010,7.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2011,4.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2012,2.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2013,4.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2014,4.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2015,2.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2016,3.0
22644000,Перевозский муниципальный район (с 2017 г. городской округ Перевозский),2017,3.0
22644101,Город Перевоз,2009,1.0
22644101,Город Перевоз,2010,5.0
22644101,Город Перевоз,2011,3.0
22644101,Город Перевоз,2012,1.0
22644101,Город Перевоз,2013,3.0
22644101,Город Перевоз,2014,3.0
22644101,Город Перевоз,2015,1.0
22644101,Город Перевоз,2016,2.0
22644403,Дзержинский сельсовет,2010,1.0
22644424,Центральный сельсовет,2010,1.0
22644424,Центральный сельсовет,2011,1.0
22644424,Центральный сельсовет,2012,1.0
22644424,Центральный сельсовет,2013,1.0
22645000,Пильнинский муниципальный район,2009,3.0
22645000,Пильнинский муниципальный район,2010,3.0
22645000,Пильнинский муниципальный район,2011,3.0
22645000,Пильнинский муниципальный район,2012,5.0
22645000,Пильнинский муниципальный район,2013,5.0
22645000,Пильнинский муниципальный район,2014,2.0
22645000,Пильнинский муниципальный район,2015,2.0
22645000,Пильнинский муниципальный район,2016,4.0
22645000,Пильнинский муниципальный район,2017,3.0
22645000,Пильнинский муниципальный район,2018,3.0
22645000,Пильнинский муниципальный район,2020,3.0
22645151,рабочий поселок Пильна,2009,3.0
22645151,рабочий поселок Пильна,2010,3.0
22645151,рабочий поселок Пильна,2011,3.0
22645151,рабочий поселок Пильна,2012,4.0
22645151,рабочий поселок Пильна,2013,4.0
22645151,рабочий поселок Пильна,2014,2.0
22645151,рабочий поселок Пильна,2015,2.0
22645151,рабочий поселок Пильна,2016,4.0
22645151,рабочий поселок Пильна,2017,3.0
22645151,рабочий поселок Пильна,2018,3.0
22645408,Большеандосовский сельсовет,2012,1.0
22645408,Большеандосовский сельсовет,2013,1.0
22646000,Починковский муниципальный район,2009,8.0
22646000,Починковский муниципальный район,2010,6.0
22646000,Починковский муниципальный район,2011,6.0
22646000,Починковский муниципальный район,2012,7.0
22646000,Починковский муниципальный район,2013,7.0
22646000,Починковский муниципальный район,2014,4.0
22646000,Починковский муниципальный район,2015,7.0
22646000,Починковский муниципальный район,2016,4.0
22646000,Починковский муниципальный район,2017,4.0
22646412,ND,2009,1.0
22646412,ND,2010,1.0
22646412,ND,2011,1.0
22646412,ND,2012,1.0
22646412,ND,2013,1.0
22646424,Кочкуровский сельсовет,2011,1.0
22646424,Кочкуровский сельсовет,2012,1.0
22646436,Маресевский сельсовет,2009,1.0
22646436,Маресевский сельсовет,2010,1.0
22646456,ND,2009,1.0
22646460,Починковский сельсовет,2009,5.0
22646460,Починковский сельсовет,2010,4.0
22646460,Починковский сельсовет,2011,3.0
22646460,Починковский сельсовет,2012,4.0
22646460,Починковский сельсовет,2013,4.0
22646460,Починковский сельсовет,2014,2.0
22646460,Починковский сельсовет,2015,4.0
22646460,Починковский сельсовет,2016,2.0
22646480,Ужовский сельсовет,2011,1.0
22646480,Ужовский сельсовет,2012,1.0
22646480,Ужовский сельсовет,2013,2.0
22647000,Семеновский муниципальный район (с 2011 г. городской округ Семеновский),2009,4.0
22647000,Семеновский муниципальный район (с 2011 г. городской округ Семеновский),2010,2.0
22647101,город Семенов,2009,1.0
22647156,рабочий поселок Сухобезводное,2009,2.0
22647404,Беласовский сельсовет,2009,1.0
22647416,Зименковский сельсовет,2010,1.0
22647440,Малозиновьевский сельсовет,2010,1.0
22648000,Сергачский муниципальный район,2009,6.0
22648000,Сергачский муниципальный район,2010,6.0
22648000,Сергачский муниципальный район,2011,8.0
22648000,Сергачский муниципальный район,2012,4.0
22648000,Сергачский муниципальный район,2013,4.0
22648000,Сергачский муниципальный район,2014,5.0
22648000,Сергачский муниципальный район,2015,5.0
22648000,Сергачский муниципальный район,2016,6.0
22648000,Сергачский муниципальный район,2017,5.0
22648000,Сергачский муниципальный район,2019,3.0
22648000,Сергачский муниципальный район,2021,4.0
22648000,Сергачский муниципальный район,2022,4.0
22648101,Город Сергач,2009,6.0
22648101,Город Сергач,2010,6.0
22648101,Город Сергач,2011,8.0
22648101,Город Сергач,2012,4.0
22648101,Город Сергач,2013,4.0
22648101,Город Сергач,2014,5.0
22648101,Город Сергач,2015,5.0
22648101,Город Сергач,2016,6.0
22648101,Город Сергач,2017,5.0
22649000,Сеченовский муниципальный район,2009,3.0
22649000,Сеченовский муниципальный район,2010,2.0
22649000,Сеченовский муниципальный район,2011,2.0
22649000,Сеченовский муниципальный район,2012,3.0
22649000,Сеченовский муниципальный район,2013,3.0
22649000,Сеченовский муниципальный район,2014,3.0
22649000,Сеченовский муниципальный район,2015,2.0
22649000,Сеченовский муниципальный район,2016,1.0
22649444,Сеченовский сельсовет,2009,3.0
22649444,Сеченовский сельсовет,2010,2.0
22649444,Сеченовский сельсовет,2011,2.0
22649444,Сеченовский сельсовет,2012,3.0
22649444,Сеченовский сельсовет,2013,3.0
22649444,Сеченовский сельсовет,2014,3.0
22649444,Сеченовский сельсовет,2015,2.0
22649444,Сеченовский сельсовет,2016,1.0
22650000,Сосновский муниципальный район,2009,4.0
22650000,Сосновский муниципальный район,2010,2.0
22650000,Сосновский муниципальный район,2011,1.0
22650000,Сосновский муниципальный район,2012,4.0
22650000,Сосновский муниципальный район,2013,2.0
22650000,Сосновский муниципальный район,2014,3.0
22650000,Сосновский муниципальный район,2015,3.0
22650000,Сосновский муниципальный район,2016,3.0
22650000,Сосновский муниципальный район,2018,3.0
22650151,рабочий поселок Сосновское,2009,2.0
22650151,рабочий поселок Сосновское,2012,2.0
22650151,рабочий поселок Сосновское,2013,1.0
22650151,рабочий поселок Сосновское,2014,2.0
22650151,рабочий поселок Сосновское,2015,1.0
22650151,рабочий поселок Сосновское,2016,2.0
22650151,рабочий поселок Сосновское,2018,3.0
22650416,Елизаровский сельсовет,2009,1.0
22650416,Елизаровский сельсовет,2010,1.0
22650416,Елизаровский сельсовет,2011,1.0
22650416,Елизаровский сельсовет,2012,1.0
22650424,Панинский сельсовет,2009,1.0
22650424,Панинский сельсовет,2010,1.0
22650424,Панинский сельсовет,2012,1.0
22650424,Панинский сельсовет,2013,1.0
22651000,Спасский муниципальный район,2010,1.0
22651000,Спасский муниципальный район,2011,1.0
22651000,Спасский муниципальный район,2012,2.0
22651000,Спасский муниципальный район,2014,1.0
22651000,Спасский муниципальный район,2015,1.0
22651000,Спасский муниципальный район,2016,1.0
22651432,Спасский сельсовет,2010,1.0
22651432,Спасский сельсовет,2011,1.0
22651432,Спасский сельсовет,2012,2.0
22651432,Спасский сельсовет,2014,1.0
22651432,Спасский сельсовет,2015,1.0
22651432,Спасский сельсовет,2016,1.0
22654000,Уренский муниципальный район,2009,8.0
22654000,Уренский муниципальный район,2010,8.0
22654000,Уренский муниципальный район,2011,3.0
22654000,Уренский муниципальный район,2012,2.0
22654000,Уренский муниципальный район,2013,4.0
22654000,Уренский муниципальный район,2014,1.0
22654000,Уренский муниципальный район,2015,4.0
22654000,Уренский муниципальный район,2016,2.0
22654000,Уренский муниципальный район,2018,3.0
22654101,Город Урень,2009,5.0
22654101,Город Урень,2010,5.0
22654101,Город Урень,2011,3.0
22654101,Город Урень,2012,2.0
22654101,Город Урень,2013,3.0
22654101,Город Урень,2014,1.0
22654101,Город Урень,2015,3.0
22654101,Город Урень,2016,1.0
22654153,рабочий поселок Арья,2009,1.0
22654153,рабочий поселок Арья,2010,1.0
22654153,рабочий поселок Арья,2013,1.0
22654410,Ворошиловский сельсовет,2009,1.0
22654410,Ворошиловский сельсовет,2010,1.0
22654416,Горевский сельсовет,2009,1.0
22654416,Горевский сельсовет,2010,1.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2009,8.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2010,7.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2011,3.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2012,3.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2013,5.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2014,4.0
22655000,Чкаловский муниципальный район (c 2016 г. городской округ г. Чкаловск),2015,3.0
22655101,Город Чкаловск,2009,4.0
22655101,Город Чкаловск,2010,3.0
22655101,Город Чкаловск,2011,1.0
22655101,Город Чкаловск,2012,2.0
22655101,Город Чкаловск,2013,4.0
22655101,Город Чкаловск,2014,3.0
22655101,Город Чкаловск,2015,3.0
22655154,рабочий поселок Катунки,2009,2.0
22655154,рабочий поселок Катунки,2010,1.0
22655154,рабочий поселок Катунки,2011,1.0
22655154,рабочий поселок Катунки,2013,1.0
22655412,Кузнецовский сельсовет,2009,1.0
22655412,Кузнецовский сельсовет,2010,1.0
22655412,Кузнецовский сельсовет,2011,1.0
22655416,Котельницкий сельсовет,2009,1.0
22655416,Котельницкий сельсовет,2010,1.0
22655428,Соломатовский сельсовет,2010,1.0
22655428,Соломатовский сельсовет,2012,1.0
22656000,Шарангский муниципальный район,2012,2.0
22656000,Шарангский муниципальный район,2013,4.0
22656000,Шарангский муниципальный район,2014,1.0
22656000,Шарангский муниципальный район,2015,2.0
22656000,Шарангский муниципальный район,2016,2.0
22656151,рабочий поселок Шаранга,2012,2.0
22656151,рабочий поселок Шаранга,2013,4.0
22656151,рабочий поселок Шаранга,2014,1.0
22656151,рабочий поселок Шаранга,2015,2.0
22656151,рабочий поселок Шаранга,2016,2.0
22657000,Шатковский муниципальный район,2009,3.0
22657000,Шатковский муниципальный район,2010,6.0
22657000,Шатковский муниципальный район,2011,8.0
22657000,Шатковский муниципальный район,2012,6.0
22657000,Шатковский муниципальный район,2013,8.0
22657000,Шатковский муниципальный район,2014,8.0
22657000,Шатковский муниципальный район,2015,5.0
22657000,Шатковский муниципальный район,2016,3.0
22657000,Шатковский муниципальный район,2017,4.0
22657000,Шатковский муниципальный район,2019,3.0
22657000,Шатковский муниципальный район,2022,3.0
22657151,рабочий поселок Шатки,2009,3.0
22657151,рабочий поселок Шатки,2010,2.0
22657151,рабочий поселок Шатки,2011,3.0
22657151,рабочий поселок Шатки,2012,2.0
22657151,рабочий поселок Шатки,2013,3.0
22657151,рабочий поселок Шатки,2014,4.0
22657151,рабочий поселок Шатки,2015,2.0
22657151,рабочий поселок Шатки,2016,2.0
22657154,рабочий поселок Лесогорск,2010,1.0
22657154,рабочий поселок Лесогорск,2011,1.0
22657154,рабочий поселок Лесогорск,2012,1.0
22657154,рабочий поселок Лесогорск,2013,2.0
22657404,Архангельский сельсовет,2012,1.0
22657404,Архангельский сельсовет,2013,1.0
22657408,Елховский сельсовет,2011,1.0
22657408,Елховский сельсовет,2013,1.0
22657424,Костянский сельсовет,2011,1.0
22657428,Красноборский сельсовет,2010,1.0
22657428,Красноборский сельсовет,2013,1.0
22657440,Пановский сельсовет,2010,1.0
22657452,Спасский сельсовет,2011,1.0
22657452,Спасский сельсовет,2012,1.0
22657460,Шараповский сельсовет,2010,1.0
22657460,Шараповский сельсовет,2011,1.0
22657460,Шараповский сельсовет,2012,1.0
22658000,Шахунский муниципальный район (с 2013 г. городской округ г.Шахунья),2009,6.0
22658000,Шахунский муниципальный район (с 2013 г. городской округ г.Шахунья),2010,5.0
22658000,Шахунский муниципальный район (с 2013 г. городской округ г.Шахунья),2011,6.0
22658000,Шахунский муниципальный район (с 2013 г. городской округ г.Шахунья),2012,8.0
22658101,город Шахунья,2009,3.0
22658101,город Шахунья,2010,3.0
22658101,город Шахунья,2011,3.0
22658101,город Шахунья,2012,5.0
22658153,рабочий поселок Вахтан,2009,2.0
22658153,рабочий поселок Вахтан,2010,1.0
22658153,рабочий поселок Вахтан,2011,2.0
22658153,рабочий поселок Вахтан,2012,1.0
22658158,рабочий поселок Сява,2009,1.0
22658158,рабочий поселок Сява,2010,1.0
22658158,рабочий поселок Сява,2011,1.0
22658158,рабочий поселок Сява,2012,2.0
22659000,Сокольский муниципальный район,2009,1.0
22659000,Сокольский муниципальный район,2010,1.0
22659000,Сокольский муниципальный район,2011,1.0
22659000,Сокольский муниципальный район,2012,1.0
22659000,Сокольский муниципальный район,2013,3.0
22659151,рабочий поселок Сокольское,2010,1.0
22659151,рабочий поселок Сокольское,2011,1.0
22659151,рабочий поселок Сокольское,2012,1.0
22659151,рабочий поселок Сокольское,2013,3.0
22659436,Георгиевский сельсовет,2009,1.0
22701000,город Нижний Новгород,2009,141.0
22701000,город Нижний Новгород,2010,114.0
22701000,город Нижний Новгород,2011,116.0
22701000,город Нижний Новгород,2012,100.0
22701000,город Нижний Новгород,2013,113.0
22701000,город Нижний Новгород,2014,115.0
22701000,город Нижний Новгород,2015,118.0
22701000,город Нижний Новгород,2016,115.0
22701000,город Нижний Новгород,2017,106.0
22701000,город Нижний Новгород,2018,103.0
22701000,город Нижний Новгород,2019,122.0
22701000,город Нижний Новгород,2020,136.0
22701000,город Нижний Новгород,2021,98.0
22701000,город Нижний Новгород,2022,136.0
22703000,город Арзамас,2009,5.0
22703000,город Арзамас,2010,7.0
22703000,город Арзамас,2011,12.0
22703000,город Арзамас,2012,3.0
22703000,город Арзамас,2013,7.0
22703000,город Арзамас,2014,8.0
22703000,город Арзамас,2015,9.0
22703000,город Арзамас,2016,11.0
22703000,город Арзамас,2017,6.0
22703000,город Арзамас,2018,7.0
22703000,город Арзамас,2019,4.0
22703000,город Арзамас,2020,6.0
22703000,город Арзамас,2021,5.0
22703000,город Арзамас,2022,5.0
22712000,город Бор,2011,12.0
22712000,город Бор,2012,15.0
22712000,город Бор,2013,15.0
22712000,город Бор,2014,14.0
22712000,город Бор,2015,14.0
22712000,город Бор,2016,11.0
22712000,город Бор,2017,12.0
22712000,город Бор,2018,13.0
22712000,город Бор,2019,7.0
22712000,город Бор,2020,12.0
22712000,город Бор,2021,4.0
22712000,город Бор,2022,9.0
22715000,город Выкса,2012,15.0
22715000,город Выкса,2013,12.0
22715000,город Выкса,2014,12.0
22715000,город Выкса,2015,13.0
22715000,город Выкса,2016,14.0
22715000,город Выкса,2017,7.0
22715000,город Выкса,2018,3.0
22715000,город Выкса,2019,9.0
22715000,город Выкса,2020,8.0
22715000,город Выкса,2021,8.0
22715000,город Выкса,2022,7.0
22721000,город Дзержинск,2009,25.0
22721000,город Дзержинск,2010,22.0
22721000,город Дзержинск,2011,24.0
22721000,город Дзержинск,2012,18.0
22721000,город Дзержинск,2013,25.0
22721000,город Дзержинск,2014,28.0
22721000,город Дзержинск,2015,27.0
22721000,город Дзержинск,2016,18.0
22721000,город Дзержинск,2017,19.0
22721000,город Дзержинск,2018,18.0
22721000,город Дзержинск,2019,16.0
22721000,город Дзержинск,2020,25.0
22721000,город Дзержинск,2021,17.0
22721000,город Дзержинск,2022,14.0
22727000,город Кулебаки,2016,2.0
22727000,город Кулебаки,2018,3.0
22727000,город Кулебаки,2019,3.0
22727000,город Кулебаки,2020,4.0
22727000,город Кулебаки,2021,5.0
22730000,Навашинский,2016,2.0
22730000,Навашинский,2017,3.0
22730000,Навашинский,2018,3.0
22734000,город Первомайск,2013,5.0
22734000,город Первомайск,2014,3.0
22734000,город Первомайск,2015,4.0
22737000,Семеновский,2011,1.0
22737000,Семеновский,2013,2.0
22737000,Семеновский,2014,1.0
22737000,Семеновский,2015,5.0
22737000,Семеновский,2016,2.0
22737000,Семеновский,2021,3.0
22737000,Семеновский,2022,3.0
22749000,Сокольский,2016,1.0
22749000,Сокольский,2019,3.0
22749000,Сокольский,2022,3.0
22755000,город Чкаловск,2016,4.0
22755000,город Чкаловск,2017,5.0
22755000,город Чкаловск,2018,3.0
22755000,город Чкаловск,2019,4.0
22755000,город Чкаловск,2020,4.0
22755000,город Чкаловск,2021,4.0
22755000,город Чкаловск,2022,4.0
22758000,город Шахунья,2013,5.0
22758000,город Шахунья,2014,3.0
22758000,город Шахунья,2015,2.0
22758000,город Шахунья,2016,2.0
22758000,город Шахунья,2017,3.0
22758000,город Шахунья,2018,3.0
22758000,город Шахунья,2019,4.0
22758000,город Шахунья,2020,8.0
24601000,Вичугский муниципальный район,2010,1.0
24601000,Вичугский муниципальный район,2011,1.0
24601000,Вичугский муниципальный район,2012,2.0
24601000,Вичугский муниципальный район,2013,3.0
24601000,Вичугский муниципальный район,2014,4.0
24601000,Вичугский муниципальный район,2015,3.0
24601000,Вичугский муниципальный район,2016,3.0
24601000,Вичугский муниципальный район,2020,3.0
24603000,Гаврилово-Посадский муниципальный район,2010,4.0
24603000,Гаврилово-Посадский муниципальный район,2011,3.0
24603000,Гаврилово-Посадский муниципальный район,2012,2.0
24603000,Гаврилово-Посадский муниципальный район,2013,1.0
24603000,Гаврилово-Посадский муниципальный район,2014,4.0
24603000,Гаврилово-Посадский муниципальный район,2015,3.0
24603000,Гаврилово-Посадский муниципальный район,2016,2.0
24605000,Заволжский муниципальный район,2010,4.0
24605000,Заволжский муниципальный район,2011,4.0
24605000,Заволжский муниципальный район,2012,1.0
24605000,Заволжский муниципальный район,2013,1.0
24605000,Заволжский муниципальный район,2014,2.0
24605000,Заволжский муниципальный район,2015,2.0
24607000,Ивановский муниципальный район,2010,9.0
24607000,Ивановский муниципальный район,2011,12.0
24607000,Ивановский муниципальный район,2012,8.0
24607000,Ивановский муниципальный район,2013,11.0
24607000,Ивановский муниципальный район,2014,8.0
24607000,Ивановский муниципальный район,2015,10.0
24607000,Ивановский муниципальный район,2016,10.0
24607000,Ивановский муниципальный район,2017,8.0
24607000,Ивановский муниципальный район,2018,6.0
24607000,Ивановский муниципальный район,2019,6.0
24607000,Ивановский муниципальный район,2020,5.0
24607000,Ивановский муниципальный район,2021,4.0
24607000,Ивановский муниципальный район,2022,6.0
24609000,Ильинский муниципальный район,2010,5.0
24609000,Ильинский муниципальный район,2011,3.0
24609000,Ильинский муниципальный район,2012,2.0
24609000,Ильинский муниципальный район,2013,1.0
24609000,Ильинский муниципальный район,2014,1.0
24609000,Ильинский муниципальный район,2015,1.0
24609000,Ильинский муниципальный район,2016,1.0
24609000,Ильинский муниципальный район,2017,3.0
24609000,Ильинский муниципальный район,2018,3.0
24609000,Ильинский муниципальный район,2019,3.0
24609000,Ильинский муниципальный район,2022,3.0
24611000,Кинешемский муниципальный район,2010,5.0
24611000,Кинешемский муниципальный район,2011,3.0
24611000,Кинешемский муниципальный район,2012,2.0
24611000,Кинешемский муниципальный район,2013,1.0
24611000,Кинешемский муниципальный район,2014,1.0
24611000,Кинешемский муниципальный район,2015,2.0
24611000,Кинешемский муниципальный район,2016,4.0
24611000,Кинешемский муниципальный район,2017,6.0
24611000,Кинешемский муниципальный район,2018,5.0
24611000,Кинешемский муниципальный район,2019,3.0
24611000,Кинешемский муниципальный район,2020,3.0
24611000,Кинешемский муниципальный район,2022,3.0
24613000,Комсомольский муниципальный район,2010,9.0
24613000,Комсомольский муниципальный район,2011,6.0
24613000,Комсомольский муниципальный район,2012,6.0
24613000,Комсомольский муниципальный район,2013,5.0
24613000,Комсомольский муниципальный район,2014,4.0
24613000,Комсомольский муниципальный район,2015,5.0
24613000,Комсомольский муниципальный район,2016,5.0
24613000,Комсомольский муниципальный район,2017,4.0
24613000,Комсомольский муниципальный район,2018,5.0
24613000,Комсомольский муниципальный район,2019,5.0
24613000,Комсомольский муниципальный район,2020,5.0
24613000,Комсомольский муниципальный район,2021,3.0
24614000,Лежневский муниципальный район,2010,7.0
24614000,Лежневский муниципальный район,2011,2.0
24614000,Лежневский муниципальный район,2012,3.0
24614000,Лежневский муниципальный район,2013,4.0
24614000,Лежневский муниципальный район,2014,2.0
24614000,Лежневский муниципальный район,2016,2.0
24614000,Лежневский муниципальный район,2019,3.0
24614000,Лежневский муниципальный район,2020,3.0
24614000,Лежневский муниципальный район,2021,3.0
24615000,Лухский муниципальный район,2010,2.0
24615000,Лухский муниципальный район,2011,1.0
24615000,Лухский муниципальный район,2013,2.0
24617000,Палехский муниципальный район,2010,1.0
24617000,Палехский муниципальный район,2011,1.0
24617000,Палехский муниципальный район,2016,2.0
24619000,Пестяковский муниципальный район,2010,4.0
24619000,Пестяковский муниципальный район,2011,4.0
24619000,Пестяковский муниципальный район,2012,3.0
24619000,Пестяковский муниципальный район,2013,2.0
24620000,Приволжский муниципальный район,2010,10.0
24620000,Приволжский муниципальный район,2011,7.0
24620000,Приволжский муниципальный район,2012,7.0
